"text","class"
"บันเทิงครับ เครื่องราคาระดับครึ่งค่อนแสน
ชาร์ตยูเอสบีร่วมกับแอนดรอยด์สายชาร์ตก็ร้อน เล่นเกมหนักๆ ก็ร้อน
ถ้าวางอยู่เฉยๆ ร้อนอีกเนี่ย เครดิต apple มีแต่จะเสียหาย แต่ที่แน่ๆ หุ้น apple ร่วงแน่นอน","1"
"สงสัยออกอัพเดท ลด clock แก้ปัญหาซะเลย","1"
"ตอนชาร์จ ร้อนจริงคับ เหมือนSamsungแล้ว 555","1"
"แบตก็หมดไว สำหรับเครื่องผม จริงตั้งแต่ XR อัพ iOS 17 ก็หมดไว ย้ายมา 15 Pro ก็หมดไวอีก","1"
"ทำจากวัสดุไทเทเนียมกี่เปอร์เซ็นหรอ เห็นเคลมตัวใหญ่โต ”ไทเทนียม“ ไม่ใช่ใส่มา 0.001 แล้วเอาอย่างอื่นมาผสมให้ครบ 100","1"
"แบบนี้เอามาต่อจอนอก ต่อจอย เล่นเกมสัก 5 ชม. มันจะร้อนแค่ไหนนิ","1"
"ถ้าเป็นจริงตามที่นักวิเคราะห์บอก แปลว่ารุ่นนี้ก็จะแก้ได้แค่ตามมีตามเกิด เพราะมันเป็นปัญหาตั้งแต่การออกแบบ จะให้แก้จริงๆต้องรอรุ่นหน้า","1"
"ฟังชั่นเดียว ราคาเปลี่ยนไป 5-7 พัน รอ ip 20 เลยเเล้วกัน","1"
"เราน่าจะเป็นคนเดียวมั้ง ที่ไม่รู้ว้าวกับไทเทเนียมเลย แค่อลูมิเนียมก็เหลือๆละ แต่ขอ 15 แบบ 120 hz ได้ไหม แอนดรอยตัว 5000 ยังให้มาเลย","1"
"เราคนเดียวหรือเปล่า ที่หลังๆไม่ค่อยอินกับ ไอโฟน <br>ออกบ่อยเกิ้น สายทำงาน SM - Note ดีกว่า","1"
"ให้อัดวีดีโอแล้วกดพอซได้สักทียัง เบื่อมากใช้มากตั้งแต่รุ่นแรกๆ อัดวีดีโอกดพอซไม่ได้","1"
"ราคาแรงมากก","1"
"เปลี่ยนแค่นี้ก็ใช้ 13 เป็นเครื่องสำรองต่อไปดีกว่า","1"
"เครื่องราคาเรือธง แต่จอ60hz","1"
"ติดอย่างเดียว 60hz อีกแล้วตัว Pro Pro Max ก็ 120hz ไปตามปกติเพราะมันตัว Top แต่ตัวธรรมดาควรจะเป็น 90hz ได้แล้วนะ Apple","1"
"บอกแล้วมันต้องร้อนกว่าตัวเก่าแน่ๆๆเพราะมันโกหกล้วนๆๆฉันไม่มีวันไปซึ่อมันแน้นอนครับ","1"
"หลายๆ คนเลย เพราะสี 😄 แค่จับถือ ก็เห็นอยู่ทุกวันละ แต่ส่วนที่ 14 pro มันดีกว่าแทบจะแยกออกในการใช้งานในชีวิตประจำวัน","1"
"ส่วนตัวไม่เลือกซักรุ่น ... ไป 13 ดีกว่า","1"
"ไม่น่าซื้อเลย ราคาอย่างแพงคุณภาพถมถุย","1"
"เห็นสีว้าวครับ แต่เห็น 60 hz ราคา 40k+ ผมจับแอนดรอย 120 hz คุ้มกว่า (ความคิดส่วนตัวนะครับงดมาม่า)","1"
"เห็นภาพเลย จริงๆ 15 มันก็คือ 14 Pro ที่เปลี่ยนรูชาร์ตเป็น usb-c นะแหละ แถมกล้องก็เหลือแค่ 2 ตา การตลาดของ iphone ทั้งนั้น แล้วถามว่า usb-c ได้ใช้ในชีวิตประจำวันมั้ย เพราะบางคนชาร์ตกับ magsafe บางคนต่อเข้าคอมครั้งสุดท้ายจำไม่ได้แล้วเพราะ backup ผ่าน icloud ผมก็งงว่าดีใจอะไรกันนักหนากับ usb-c
ส่วนตัวใช้ 14 pro max อยู่แล้ว ดูสเปคปีนี้ไม่มีอะไรเปลี่ยนเลย ที่มีนัยสำคัญสำหรับผมคือกล้องหลัง 15 pro ที่ได้ถึง 6x ซึ่งฝั่งเรือธง android ดูไปเขาคงนั่งหัวเราะ สรุปปีนี้ผมว่า minor change คิดว่าจะไม่ซื้อ","1"
"เรื่องจออันนี้ไม่เถียงเลยครับ ipad ใช้จอ 120 มานานมากแล้ว สมัยนั้น ติ่งฝั่งแอนดรอยที่ยังไม่มีจอ 120 ใน ซัมซุง หรือตัวท็อปในยุคนั้นใช้ ยังมาเถียงฉอดๆอยู่เลย เพราะตัวเองไม่รู้จัก แต่มาปัจจุบัน กลายเป็นฝั่ง iPhone ซะงั้นที่มาอ้างโน่นนี่ว่าจอ 120 ไม่จำเป็น","1"
